,GDP_Growth,Broadband,Mobile,Education,Urbanization
count,179.0,179.0,179.0,179.0,179.0
mean,4.509449006680686,20.00540129083579,117.41630930105933,89.65062531302235,64.51414542580504
std,4.0502475150597945,14.968752334716163,31.63957657215619,23.734670562528095,20.078285685978607
min,-18.956941494497,0.0689819037472503,39.7060658232902,33.6212866168282,16.7146031979436
25%,2.800886947112865,6.51959798173624,100.55342650609549,78.42783741156265,51.6019870866782
50%,4.11782588294032,17.7300708049016,116.679163253179,93.4123434096522,65.4012965440866
75%,6.100675656226775,33.3490583299854,132.2675610945905,103.7256891394155,80.02210156960041
max,20.3884431828414,56.3604363676998,292.80765987826,144.852462768555,100.0
